"REFERENCE","LOCATION","APP TYPE","APP TYPE DECODE","VALIDATION DATE","PROPOSAL","RECOMMENDATION","RECOMMENDATION DECODE","DECISION DATE","DEVELOPMENT TYPE","DEVELOPMENT TYPE DECODE","WARD","WARD DECODE","NORTHING","EASTING","KEY VALUE"
"93/31137/ADV","Starvin Marvins Trafford Road Salford 5 ","ADV","Advert Application",6/5/1993 00:00:00,"Display of landscape pictorial sign at rear of diner.","WDN","Application Withdrawn",26/9/1994 00:00:00,"14","Advertisements","OR","Ordsall","397220","381367","9331137ADV"
"93/31147/ADV","Cleggs Lane Filling Station Cleggs Lane Little Hulton Worsley ","ADV","Advert Application",7/5/1993 00:00:00,"Display of externally illuminated fascia sign.","PER","Approve",21/6/1993 00:00:00,"14","Advertisements","LH","Little Hulton","404420","372420","9331147ADV"
"93/31156/ADV","16 The Mall Eccles ","ADV","Advert Application",11/5/1993 00:00:00,"Display of internally illuminated fascia and projecting sign.","PER","Approve",29/7/1993 00:00:00,"14","Advertisements","EC","Eccles","398650","377760","9331156ADV"
"93/31215/ADV","Barton Hall Estate Hardy Street Peel Green Eccles ","ADV","Advert Application",21/5/1993 00:00:00,"Display of internally illuminated box sign.","PER","Approve",29/7/1993 00:00:00,"14","Advertisements","WI","Winton","398160","375690","9331215ADV"
"93/31230/ADV","Car Park On Hardy Street And 521 Liverpool Road Eccles ","ADV","Advert Application",25/5/1993 00:00:00,"Retention of advertisement hoardings","PER","Approve",5/8/1993 00:00:00,"14","Advertisements","BA","Barton","397910","375714","9331230ADV"
"93/31253/ADV","122 Sutton Way (Salford Precinct) Salford 6 ","ADV","Advert Application",27/5/1993 00:00:00,"Display of internally illuminated fascia signs","PER","Approve",29/7/1993 00:00:00,"14","Advertisements","LG","Langworthy","399245","380683","9331253ADV"
"93/31289/ADV","241/243 Lower Broughton Road Salford 7 ","ADV","Advert Application",2/6/1993 00:00:00,"Display of internally illuminated shop fascia sign","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","BR","Broughton","399944","382318","9331289ADV"
"93/31285/ADV","The White Horse Public House 384 Worsley Road Swinton ","ADV","Advert Application",2/6/1993 00:00:00,"Display of illuminated post mounted sign","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","WO","Worsley","401247","376265","9331285ADV"
"93/31304/ADV","Bus Shelter Opposite Sedan Close Liverpool Street Salford 5 ","ADV","Advert Application",4/6/1993 00:00:00,"Display of internally illuminated advertisement panel on bus shelter.","WDN","Application Withdrawn",22/2/1994 00:00:00,"14","Advertisements",,,"398413","384008","9331304ADV"
"93/31321/ADV","University Of Salford Crescent Salford 5 ","ADV","Advert Application",9/6/1993 00:00:00,"Display of non-illuminated post mounted sign.","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","IW","Irwell Riverside","399224","381952","9331321ADV"
"93/31254/ADV","Irlam Ford Fairhills Road Irlam ","ADV","Advert Application",10/6/1993 00:00:00,"Display of several illuminated garage signs.","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","CD","Cadishead","393763","371860","9331254ADV"
"93/31347/ADV","Central Reform Church Trafford Road Salford 5 ","ADV","Advert Application",15/6/1993 00:00:00,"Display of two non illuminated directional signs","REF","Refuse",20/8/1993 00:00:00,"14","Advertisements","OR","Ordsall","397800","381285","9331347ADV"
"93/31343/ADV","Emerson House Albert Street Eccles ","ADV","Advert Application",15/6/1993 00:00:00,"Display of illuminated identification sign","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","EC","Eccles","398776","377683","9331343ADV"
"93/31379/ADV","101 Mather Way (Salford Precinct) Salford 6 ","ADV","Advert Application",22/6/1993 00:00:00,"Display of non illuminated fascia sign.","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","LG","Langworthy","399208","381052","9331379ADV"
"93/31377/ADV","Unit 42 Hankinson Way Salford 6 ","ADV","Advert Application",22/6/1993 00:00:00,"2Erection of internally illuminated fascia sign","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","LG","Langworthy","399103","381039","9331377ADV"
"93/31386/ADV","Gable Wall Of Salford Royal Hospital Adelphi Street Salford 3 ","ADV","Advert Application",23/6/1993 00:00:00,"Retention of non-illuminated sign","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","IW","Irwell Riverside","398557","382531","9331386ADV"
"93/31363/ADV","Land Formerly The Tallow Tub Public House Chapel Street Salford 3 ","ADV","Advert Application",23/6/1993 00:00:00,"Retention of 2 billboards.","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","OR","Ordsall","398650","383361","9331363ADV"
"93/31396/ADV","RRG Swinton Moorside Road Swinton ","ADV","Advert Application",25/6/1993 00:00:00,"Display of externally illuminated double sided freestanding plinth sign","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","SN","Swinton North","401680","376524","9331396ADV"
"93/31428/ADV","54/55 Fitzgerald Way (Salford Precinct) Salford 6 ","ADV","Advert Application",30/6/1993 00:00:00,"Display of illuminated shop sign","PER","Approve",20/8/1993 00:00:00,"14","Advertisements",,,"399976","381031","9331428ADV"
"93/31451/ADV","Midland Bank 120 Church Street Eccles ","ADV","Advert Application",6/7/1993 00:00:00,"Display of internally illuminated projecting sign and individual lettering","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","EC","Eccles","398534","377662","9331451ADV"
"93/31459/ADV","Robin Hood Public House Manchester Road Clifton Swinton ","ADV","Advert Application",7/7/1993 00:00:00,"Display of various illuminated signs","PER","Approve",16/9/1993 00:00:00,"14","Advertisements","SN","Swinton North","403271","377730","9331459ADV"
"93/31481/ADV","The White Horse 575 Liverpool Road Irlam ","ADV","Advert Application",12/7/1993 00:00:00,"Display of internally and externally illuminated signs","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","CD","Cadishead","393518","371652","9331481ADV"
"93/31504/ADV","Units 2/6 The Parade Swinton ","ADV","Advert Application",16/7/1993 00:00:00,"Display of internally illuminated fascia sign and two projecting signs.","PER","Approve",16/9/1993 00:00:00,"14","Advertisements","SS","Swinton South","401825","377587","9331504ADV"
"93/31501/ADV","Unit 2 Hankinson Way Salford 6 ","ADV","Advert Application",16/7/1993 00:00:00,"Display of internally illuminated fascia Sign.","PER","Approve",20/8/1993 00:00:00,"14","Advertisements","LG","Langworthy","399238","381110","9331501ADV"
"93/31523/ADV","Land Bounded By Railway Line And Wimpey Training Centre Eccles New Road Salford 5 ","ADV","Advert Application",21/7/1993 00:00:00,"Display of 3 - 48 sheet advertisement panels.","REF","Refuse",17/9/1993 00:00:00,"14","Advertisements","SW","Weaste  And Seedley","398583","379157","9331523ADV"
"93/31580/ADV","Royal Mail House Clippers Quay Salford 5 ","ADV","Advert Application",4/8/1993 00:00:00,"Display of advertisement signs and flagpole.","PER","Approve",1/11/1993 00:00:00,"14","Advertisements","OR","Ordsall","397476","382600","9331580ADV"
"93/31601/ADV","Salford Royal British Legion Robert Hall Street Salford 5 ","ADV","Advert Application",10/8/1993 00:00:00,"Display of non-illuminated fascia sign","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","OR","Ordsall","397594","380020","9331601ADV"
"93/31625/ADV","Agecroft Commerce Park Agecroft Road Pendlebury Swinton ","ADV","Advert Application",17/8/1993 00:00:00,"Display of 4 No 6 metre high flagpoles","PER","Approve",25/10/1993 00:00:00,"14","Advertisements","IW","Irwell Riverside","401332","380190","9331625ADV"
"93/31635/ADV","Salford Arms P.H. Chapel Street Salford 3 ","ADV","Advert Application",19/8/1993 00:00:00,"Display of various externally illuminated signs","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","OR","Ordsall","398575","383174","9331635ADV"
"93/31648/ADV","100 Albany Way (Salford Precinct) Salford 6 ","ADV","Advert Application",24/8/1993 00:00:00,"Display of internally illuminated fascia sign.","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","LG","Langworthy","399195","381046","9331648ADV"
"93/31647/ADV","56 Fitzgerald Way (Salford Precinct) Salford 6 ","ADV","Advert Application",24/8/1993 00:00:00,"Display of internally illuminated fascia sign.","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","LG","Langworthy","399112","380898","9331647ADV"
"93/31667/ADV","Land To Front Of Red Rose Centre Regent Road Salford 5 ","ADV","Advert Application",31/8/1993 00:00:00,"Erection of non illuminated display board sign","PER","Approve",16/2/1994 00:00:00,"14","Advertisements","OR","Ordsall","397958","381808","9331667ADV"
"93/31666/ADV","Land To Front Of Red Rose Centre Regent Road Salford 5 ","ADV","Advert Application",31/8/1993 00:00:00,"Erection of three non-illuminated shop signs","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","OR","Ordsall","397958","381808","9331666ADV"
"93/31669/ADV","Crown Mill Crown Street Salford 3 ","ADV","Advert Application",1/9/1993 00:00:00,"Erection of 1 No 48 sheet advert display panel on gable wall fronting Trinity Way","REF","Refuse",23/9/1993 00:00:00,"14","Advertisements","OR","Ordsall","398968","383358","9331669ADV"
"93/31685/ADV","Tesco Petrol Filling Station Woodrow Way Irlam ","ADV","Advert Application",2/9/1993 00:00:00,"Display of internally illuminated gantry sign as replacement for pole sign.","PER","Approve",26/10/1993 00:00:00,"14","Advertisements","CD","Cadishead","393600","371950","9331685ADV"
"93/31690/ADV","Midland Bank Salford University University Road Salford 5 ","ADV","Advert Application",3/9/1993 00:00:00,"Display of internal illuminated portal sign and hanging sign.","PER","Approve",20/10/1993 00:00:00,"14","Advertisements","IW","Irwell Riverside","398534","381230","9331690ADV"
"93/31692/ADV","441 Liverpool Road Eccles ","ADV","Advert Application",3/9/1993 00:00:00,"-Display of non-illuminated directional sign board 4ft high by
3ft 3ins wide.","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","BA","Barton","398035","375871","9331692ADV"
"93/31696/ADV","The Mall Eccles ","ADV","Advert Application",3/9/1993 00:00:00,"Display of various illuminated signs.","PER","Approve",19/11/1993 00:00:00,"14","Advertisements",,,"398640","377880","9331696ADV"
"93/31698/ADV","The Moorings, Boothstown Basin, Quayside Close Worsley ","ADV","Advert Application",6/9/1993 00:00:00,"Continued display of various illuminated and non-illuminated pub signs.","PER","Approve",15/12/1993 00:00:00,"14","Advertisements","BE","Boothstown And Ellenbrook","400364","372677","9331698ADV"
"93/31711/ADV","202 Church Street Eccles ","ADV","Advert Application",9/9/1993 00:00:00,"Display of internaly illuminated projecting sign","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","EC","Eccles","398570","377241","9331711ADV"
"93/31713/ADV","Bus Shelters Outside 37 Manchester Rd West And One Opposite 332 Manchester Road East Little Hulton Worsley ","ADV","Advert Application",9/9/1993 00:00:00,"Display of advertising panels","PER","Approve",17/12/1993 00:00:00,"14","Advertisements",,,"000000","000000","9331713ADV"
"93/31730/ADV","1/2 St Margarets Building Bury Old Road Salford 8 ","ADV","Advert Application",10/9/1993 00:00:00,"Display of non illuminated fascia sign and display of internally illuminated projecting sign","PER","Approve",26/10/1993 00:00:00,"14","Advertisements","KR","Kersal","401836","383875","9331730ADV"
"93/31731/ADV","22 The Mall Eccles ","ADV","Advert Application",14/9/1993 00:00:00,"Display of internally illuminated shop sign","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","EC","Eccles","398645","377840","9331731ADV"
"93/31778/ADV","The Antelope 13 Manchester Road West Little Hulton Worsley ","ADV","Advert Application",23/9/1993 00:00:00,"Display of various illuminated signs","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","LH","Little Hulton","403973","371910","9331778ADV"
"93/31799/ADV","Land At Corner Of Legh Street And Broom Lane Salford 7 ","ADV","Advert Application",28/9/1993 00:00:00,"Erection of non illuminated information board","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","KR","Kersal","401504","382858","9331799ADV"
"93/31802/ADV","Ye Olde Nelson Chapel Street Salford 3 ","ADV","Advert Application",29/9/1993 00:00:00,"Display of various illuminated signs","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","OR","Ordsall","398520","382945","9331802ADV"
"93/31829/ADV","Vacant Land At 237 Liverpool Road Eccles ","ADV","Advert Application",7/10/1993 00:00:00," Display of 2 x 48 sheet non illuminated advertisement hoardings","REF","Refuse",19/11/1993 00:00:00,"14","Advertisements","BA","Barton","000000","000000","9331829ADV"
"93/31871/ADV","Irlam Community Centre Junction Liverpool Road Ferryhill Road Irlam ","ADV","Advert Application",20/10/1993 00:00:00,"Display of 2 No. externally illuminated sign boards and 4 flagpoles.","PER","Approve",19/11/1993 00:00:00,"14","Advertisements","IR","Irlam","394721","372405","9331871ADV"
"93/31886/ADV","465A/ 465 Bury New Road Salford 7 ","ADV","Advert Application",26/10/1993 00:00:00,"Display of non-illuminated direction sign.","PER","Approve",16/12/1993 00:00:00,"14","Advertisements","KR","Kersal","000000","000000","9331886ADV"
"93/31916/ADV","67-68 Fitzgerald Way (Salford Precinct) Salford 6 ","ADV","Advert Application",2/11/1993 00:00:00,"Display of internally illuminated shop sign.","PER","Approve",16/12/1993 00:00:00,"14","Advertisements","LG","Langworthy","399146","381075","9331916ADV"
"93/31917/ADV","Irlam Service Station Liverpool Road Irlam ","ADV","Advert Application",2/11/1993 00:00:00,"Display of internally illuminated pole sign and various externally illuminated fascia signs.","PER","Approve",16/12/1993 00:00:00,"14","Advertisements","IR","Irlam","394860","372465","9331917ADV"
"93/31922/ADV","Cosmo Bingo Liverpool Road Eccles ","ADV","Advert Application",3/11/1993 00:00:00,"Display of various floodlit sign boxes","PER","Approve",16/12/1993 00:00:00,"14","Advertisements","BA","Barton","398440","376650","9331922ADV"
"93/31971/ADV","Midland Bank Plc 139 Chorley Road Swinton ","ADV","Advert Application",19/11/1993 00:00:00,"Display of internally illuminated fascia sign","PER","Approve",20/1/1994 00:00:00,"14","Advertisements","SS","Swinton South","401703","377665","9331971ADV"
"93/31972/ADV","27 Millfield Drive Worsley ","ADV","Advert Application",19/11/1993 00:00:00,"Retention of directional sales signboard","PER","Approve",20/1/1994 00:00:00,"14","Advertisements","BE","Boothstown And Ellenbrook","400732","372650","9331972ADV"
"93/31977/ADV","Land On Trent Drive Little Hulton Worsley ","ADV","Advert Application",22/11/1993 00:00:00,"Display of two No externally illuminated sales signs","PER","Approve",20/1/1994 00:00:00,"14","Advertisements","LH","Little Hulton","402732","372575","9331977ADV"
"93/32001/ADV","Brown And White (Service Site) Bury New Road Salford 7 ","ADV","Advert Application",30/11/1993 00:00:00,"Display of internally illuminated box sign","PER","Approve",17/2/1994 00:00:00,"14","Advertisements",,,"400488","383095","9332001ADV"
"93/32002/ADV","The Mill House 6 Worsley Road Worsley ","ADV","Advert Application",30/11/1993 00:00:00,"Display of canopy over shop front windows","REF","Refuse",17/2/1994 00:00:00,"14","Advertisements","WO","Worsley","400505","374895","9332002ADV"
"93/32014/ADV","Nurdin And Peacock Manchester Road Walkden Worsley ","ADV","Advert Application",2/12/1993 00:00:00,"Removal of existing signs and display of externally illuminated fascia sign to front of building and non-illuminated sign to 
Moss Lane.","PER","Approve",19/1/1994 00:00:00,"14","Advertisements","WN","Walkden North","403050","374855","9332014ADV"
"93/32027/ADV","Wardley Service Station 627A Manchester Road Swinton ","ADV","Advert Application",6/12/1993 00:00:00,"Replacement of 13 illuminated and non-illuminated corporate
advertisement signs","PER","Approve",17/2/1994 00:00:00,"14","Advertisements","SN","Swinton North","402332","376500","9332027ADV"
"93/32061/ADV","Co-Operative Bank Chorley Road Swinton ","ADV","Advert Application",17/12/1993 00:00:00,"Display on internally illuminated fascia sign and non illuminated directional sign","PER","Approve",19/1/1994 00:00:00,"14","Advertisements","SS","Swinton South","401570","377745","9332061ADV"
"93/32075/ADV","Megabowl 30 Shield Drive Worsley ","ADV","Advert Application",21/12/1993 00:00:00,"Display on internally Illuminated Fascia Sign","PER","Approve",17/2/1994 00:00:00,"14","Advertisements","SN","Swinton North","401734","376190","9332075ADV"
"93/32090/ADV","Junction Of Liverpool Street And Albion Way Salford 5 ","ADV","Advert Application",30/12/1993 00:00:00,"Display of three advertisement boards.","PER","Approve",17/2/1994 00:00:00,"14","Advertisements","OR","Ordsall","398393","381665","9332090ADV"
