Body Name,Service Area,Expenses Type,Invoice Payment Date,Transaction Number,Net Amount,Supplier Name
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.04.2013,5100627783,"£3,147.03",Pts Plumbing Trade Supplies
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.04.2013,5100627887,"£1,750.56",Ground Heat Ltd
Manchester City Council,Housing Revenue Account,Council Dwelling Adaptations,03.04.2013,5100627892,"£1,114.94",Ground Heat Ltd
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.04.2013,5100627897,"£43,000.00",Cornerhouse
Manchester City Council,Chief Executives,Works and associated costs for Land and Buildings,03.04.2013,5100627918,"£122,731.00",GB Building Solutions Ltd
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627878,"£29,897.53",Aggregate Industries T/A Kennedy As
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627903,"£25,500.00",Aggregate Industries T/A Kennedy As
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627905,"£24,000.00",Aggregate Industries T/A Kennedy As
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627934,"£48,443.35",J.Hopkins (Contractors) Ltd.
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627868,"£38,501.25",J.Hopkins (Contractors) Ltd.
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627890,"£28,408.32",J.Hopkins (Contractors) Ltd.
Manchester City Council,Environment and Operations,Construction Works,03.04.2013,5100627894,"£25,700.00",J.Hopkins (Contractors) Ltd.
Manchester City Council,Chief Executives,Construction Works,03.04.2013,5100627907,"£65,000.00",Aggregate Industries T/A Kennedy As
Manchester City Council,Adult Social Care,CAMC/Not assigned,03.04.2013,5100628006,"£3,500.00",Hays Personnel
Manchester City Council,Adult Social Care,CAMC/Not assigned,03.04.2013,5100627969,"£1,400.00",Hays Personnel
Manchester City Council,Manchester Leisure,Agency staff provision,04.04.2013,5100628136,£662.64,Manpower UK Ltd
Manchester City Council,Hospitality + Trading Services,Agency staff provision,04.04.2013,5100628262,£536.87,Service Personnel Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628032,£750.12,Search Consultancy Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628223,£640.44,Routes Healthcare Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628189,£553.94,HR GO Recruitment Healthcare
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628061,£913.50,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628387,£913.50,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628395,£887.40,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628048,£736.75,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628050,£736.75,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628043,£633.60,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628059,£572.95,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628386,£572.95,Semester Recruitment Ltd
Manchester City Council,Adult Social Care,Agency staff provision,04.04.2013,5100628392,£572.95,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628032,£798.00,Search Consultancy Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,"£2,132.00",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,"£1,155.35",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628147,"£1,097.45",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,"£1,043.00",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,"£1,003.80",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628147,"£1,003.80",Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,£913.50,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628138,£895.30,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628147,£895.30,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628147,£521.50,Sanctuary Social Care
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628163,£998.30,Rullion Resource Limited
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628163,£950.88,Rullion Resource Limited
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628163,£887.15,Rullion Resource Limited
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628060,£771.05,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628055,£765.95,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628053,£672.35,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628049,£550.70,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628389,£521.50,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628397,£521.50,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628270,£820.14,SRA Cover Staff Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628270,£811.68,SRA Cover Staff Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628270,£707.70,SRA Cover Staff Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628115,£676.40,SRA Cover Staff Ltd
Manchester City Council,Childrens Services,Agency staff provision,04.04.2013,5100628270,£588.00,SRA Cover Staff Ltd
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628032,"£1,859.92",Search Consultancy Ltd
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628032,£718.31,Search Consultancy Ltd
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628032,£653.03,Search Consultancy Ltd
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628147,£946.46,Sanctuary Social Care
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628096,"£10,233.41",Celsian Education
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628385,"£5,221.43",Semester Recruitment Ltd
Manchester City Council,Chief Executives,Agency staff provision,04.04.2013,5100628065,£672.35,Semester Recruitment Ltd
Manchester City Council,Chief Executives,Seconded Employees,04.04.2013,5100628106,"£19,717.61",Dept for Communities and Local Govt
Manchester City Council,Chief Executives,Occupational Health services,04.04.2013,1903601193,"£3,570.00",Healthwork Ltd
Manchester City Council,Chief Executives,Occupational Health services,04.04.2013,1903601192,£537.60,Healthwork Ltd
Manchester City Council,Childrens Services,External repairs and maintenance for buildings,04.04.2013,5100627888,"£28,644.00",GB Building Solutions Ltd
Manchester City Council,Manchester Leisure,Electricity,04.04.2013,1903600921,"£11,081.32",British Gas Business
Manchester City Council,Manchester Leisure,Electricity,04.04.2013,1903600931,"£4,275.35",British Gas Business
Manchester City Council,Manchester Leisure,Electricity,04.04.2013,1903600934,"£3,828.11",British Gas Business
Manchester City Council,Manchester Leisure,Electricity,04.04.2013,1903600946,"£1,282.34",British Gas Business
Manchester City Council,Libraries and Theatres,Electricity,04.04.2013,1903600933,"£7,604.59",British Gas Business
Manchester City Council,Libraries and Theatres,Electricity,04.04.2013,1903600925,"£3,786.08",British Gas Business
Manchester City Council,Libraries and Theatres,Electricity,04.04.2013,1903600928,"£2,293.79",British Gas Business
Manchester City Council,Libraries and Theatres,Electricity,04.04.2013,1903600927,"£1,569.37",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600920,"£22,061.15",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600919,"£19,401.79",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600922,"£11,313.84",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600938,"£8,280.11",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600948,"£4,267.94",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600936,"£2,378.81",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600930,"£1,807.63",British Gas Business
Manchester City Council,Hospitality + Trading Services,Electricity,04.04.2013,1903600929,"£1,694.90",British Gas Business
Manchester City Council,Environment and Operations,Electricity,04.04.2013,1903600937,"£1,192.91",British Gas Business
Manchester City Council,Environment and Operations,Electricity,04.04.2013,1903600939,"£1,127.23",British Gas Business
Manchester City Council,Adult Social Care,Electricity,04.04.2013,1903600941,"£1,262.51",British Gas Business
Manchester City Council,Childrens Services,Electricity,04.04.2013,1903600940,"£1,959.62",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600947,"£15,669.06",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600924,"£10,922.50",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600932,"£9,456.64",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600918,"£4,208.60",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600917,"£2,558.91",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600945,"£2,221.89",British Gas Business
Manchester City Council,Corporate Services,Electricity,04.04.2013,1903600943,"£1,610.75",British Gas Business
Manchester City Council,Housing Revenue Account,Electricity,04.04.2013,1903600951,"£3,265.34",E.on UK Plc
Manchester City Council,Housing Revenue Account,Electricity,04.04.2013,1903600952,"£3,194.35",E.on UK Plc
Manchester City Council,Chief Executives,Electricity,04.04.2013,1903600935,"£16,785.79",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600905,"£20,426.89",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600913,"£10,673.47",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600914,"£9,920.37",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600911,"£9,107.95",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600908,"£9,078.34",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600906,"£9,041.07",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600912,"£9,019.81",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600907,"£8,282.95",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600904,"£8,102.91",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600909,"£7,793.68",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600910,"£7,640.96",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600916,"£3,915.58",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1903600926,"£1,415.21",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034648,"-£7,675.06",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034647,"-£7,826.68",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034645,"-£8,317.05",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034642,"-£8,523.97",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034650,"-£9,053.91",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034644,"-£9,074.07",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034646,"-£9,112.44",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034649,"-£9,140.95",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034651,"-£10,707.57",British Gas Business
Manchester City Council,Regeneration Finance,Electricity,04.04.2013,1700034643,"-£21,714.83",British Gas Business
Manchester City Council,Manchester Leisure,Rents,04.04.2013,5100628184,"£1,870.00",Wright Robinson Sports College
Manchester City Council,Hospitality + Trading Services,Rents,04.04.2013,5100628152,"£4,129.91",Langtree Group Plc
Manchester City Council,Regeneration Finance,Rents,04.04.2013,5100628187,"£9,066.66",4CT Limited
Manchester City Council,Learning Disabilities PB,Rents,04.04.2013,5100628031,"-£2,472.16",Great Places Housing Association
Manchester City Council,Learning Disabilities PB,Rents,04.04.2013,5100628177,"-£2,472.16",Great Places Housing Association
Manchester City Council,Adult Social Care,Water - Metered,04.04.2013,1903600953,£505.99,United Utilities Water Plc
Manchester City Council,Hospitality + Trading Services,Contract Cleaning External,04.04.2013,5100627958,"£21,133.10",Ocean Contract Cleaning Ltd
Manchester City Council,Environment and Operations,Contract Cleaning External,04.04.2013,5100628134,"£14,827.81",Morrison Merlin Limited
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,04.04.2013,5100628071,£967.83,Amtoll Ltd
Manchester City Council,Hospitality + Trading Services,Cleaning Equipment and Materials,04.04.2013,5100628075,£674.20,Amtoll Ltd
Manchester City Council,Chief Executives,Security,04.04.2013,5100628254,"£3,188.18",Showsec International Ltd
Manchester City Council,Childrens Services,Hire of Premises,04.04.2013,5100628132,£650.00,Be My Guest
Manchester City Council,Childrens Services,Hire of Premises,04.04.2013,5100627960,£750.00,Manchester City Football Club Plc
Manchester City Council,GMIST (Greater Mcr Integrated),Hire of Premises,04.04.2013,5100628109,£856.50,Manchester City Football Club Plc
Manchester City Council,Manchester Leisure,Grounds Maintenance,04.04.2013,5100628233,"£1,384.66",Glendale Managed Services
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.04.2013,5100627719,"£39,137.70",Manchester Van Hire Ltd
Manchester City Council,Hospitality + Trading Services,Vehicle Hire Costs,04.04.2013,5100627737,"£45,551.80",Specialist Vehicle rental
Manchester City Council,Adult Social Care,Transport Taxis,04.04.2013,5100628032,£785.09,Search Consultancy Ltd
Manchester City Council,Adult Social Care,Transport Taxis,04.04.2013,5100628062,£741.63,Semester Recruitment Ltd
Manchester City Council,Childrens Services,Transport Taxis,04.04.2013,5100628171,"£1,386.00",Cresta Car Hire
Manchester City Council,Childrens Services,Transport Coach Hire,04.04.2013,5100628112,"£7,875.00",APTSL
Manchester City Council,Childrens Services,Transport Coach Hire,04.04.2013,5100628110,"-£7,875.00",APTSL
Manchester City Council,Manchester Leisure,Equipment,04.04.2013,5100627961,"£1,082.50",Tim Garbutt Events Ltd
Manchester City Council,Chief Executives,Equipment,04.04.2013,5100628158,£635.00,Jigsaw Systems Limited
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.04.2013,5100628178,"£1,029.00",Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.04.2013,5100628170,£855.40,Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Building Materials for direct delivery,04.04.2013,5100628176,£545.20,Aggregate Industries T/A Kennedy As
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,04.04.2013,5100628094,"£7,605.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,04.04.2013,5100628089,"£2,250.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,04.04.2013,5100628092,"£2,250.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Hospitality + Trading Services,Payments to Sub-Contractors,04.04.2013,5100628082,"£2,025.00",Kenny Bros (Civil Eng) Ltd
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,04.04.2013,5100628219,"£71,085.04",Glendale Managed Services
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,04.04.2013,5100628221,"£71,085.04",Glendale Managed Services
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,04.04.2013,5100628425,"£5,351.71",Community Security (North West)
Manchester City Council,Environment and Operations,Payments to Sub-Contractors,04.04.2013,5100628428,"£2,980.62",Community Security (North West)
Manchester City Council,Corporate Services,Payments to Sub-Contractors,04.04.2013,5100628011,"£20,000.00",J.Hopkins (Contractors) Ltd.
Manchester City Council,Chief Executives,Payments to Sub-Contractors,04.04.2013,5100628038,"£22,500.00",Marketing Manchester
Manchester City Council,Regeneration Finance,Training and Development,04.04.2013,5100628186,£694.80,Assessment & Qualifications Allianc
Manchester City Council,Corporate Services,Printing,04.04.2013,5100628363,"£74,863.95",Computerland Uk Ltd
Manchester City Council,Corporate Services,Printing,04.04.2013,5100628364,£901.53,Computerland Uk Ltd
Manchester City Council,Chief Executives,Printing,04.04.2013,5100628237,£892.00,Mail Solutions
Manchester City Council,Chief Executives,Printing,04.04.2013,5100628234,£768.00,Mail Solutions
